Final Event Number,Date & Time Reported,Date and Time Occurred,Log Type,category,Location,State,Status,Remarks
2012-0000760,1/20/12,1/20/2012 10:30:00AM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual sleeping inside of the building. Officers arrived and sent the individual on their way.
2012-0000761,1/20/12,1/20/2012 10:41:00AM,HAZARDOUS CONDITION,Other,GOLDENSON BUILDING 1 220-1 LONGWOOD AVE,MA,CLOSED,Officer informed of icy conditions on the stairwell outside of the building. Officer reports Cambridge landscaping has been notified and will respond to secure the area.
2012-0000778,1/20/12,1/20/2012 10:00:00AM To  3:30:00PM,THEFT REPORT,Theft,HOFFMAN LAB GEOLOGY 20 OXFORD ST,MA,CLOSED,Officer dispatched to take a report of a stolen bicycle tire valued at $ 30.00. There were no suspicious individuals seen in the area at the time of the theft.
2012-0000783,1/20/12,1/20/2012 11:10:00AM To 11:40:00AM,THEFT REPORT,Theft,ADMINISTRATIVE CENTER KENNEDY 124 MT AUBURN ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured brown louis vuitton wallet valued at $50.00 that contained identification cards, credit cards and $20.00 cash.
UPDATE 11/15/12: Pending further investigation this case is closed."
2012-0000784,1/20/12,1/20/2012 10:00:00AM To  5:15:00PM,THEFT REPORT,Theft,ANDOVER HALL 45 FRANCIS AVE,MA,CLOSED,Officer dispatched to take a report of a theft. Officer arrived and spoke to the reporting party who stated upon arrival they observed that their cable bicycle lock had been cut and their brown Specialized mountain bicycle valued at $750.00 had been stolen. There were no suspicious individuals seen in the area at the time of the theft.
2012-0000788,1/20/12,1/20/2012  6:11:00PM,THEFT REPORT,Theft,LOEB DRAMA CENTER 64 BRATTLE ST,MA,CLOSED,Officer dispatched to a report of an attempted theft. Officer arrived and spoke to the reporting party who stated an unknown individual entered the building and began asking questions. The reporting party stated a few minutes later the same individual was observed going through desk drawers. When the unknown individual observed the reporting party they got up and left the area. The reporting party then stated that the same individual was observed at the back of the stage moments later. The individual was then seen leaving the building. Officer searched the building and the area for the individual with negative results.
2012-0000790,1/20/12,1/20/2012  7:02:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,MEDICAL SCHOOL QUAD 202 LONGWOOD AVE,MA,CLOSED,Officers dispatched to a report of two individuals acting suspiciously in the area. Officers arrived and located the individuals who were lost. Officers directed the individuals to their desired location and sent them on their way.
2012-0000793,1/20/12,1/20/2012 10:22:00PM,TRESPASS WARNING,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual in the restroom for an extended amount of time. Officers arrived and located the individual. Officers conducted a field interview and the individual was run for wants/warrants with negative results and sent on their way with a trespass warning for the Au Bon Pain.
2012-0000794,1/20/12,1/20/2012 10:40:00PM,ASSIST CAMBRIDGE POLICE,Other, 157 PLEASANT ST,MA,CLOSED,Officers assisted CPD in searching the area for an individual. Officers searched the area with negative results.
2012-0000797,1/20/12,1/20/2012 10:59:00PM,PROPERTY DAMAGE,Theft,NRB NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR,MA,CLOSED,Officer dispatched to a report of a fire alarm. Officer arrived and reports the alarm was caused by a broken sprinkler head on the upper level of the garage. Officer reports management was notified and will respond to fix the sprinkler head.
2012-0000818,1/21/12,1/21/2012 12:03:00PM,TRESPASS LETTER,Suspicious activity,LAMONT LIBRARY 11 QUINCY ST,MA,CLOSED,An individual was issued a trespass letter for all Harvard University property.
2012-0000821,1/21/12,1/21/2012 12:30:00PM To  2:00:00PM,DEMONSTRATION,Disturbance,JOHN HARVARD STATUE 1 HARVARD YARD,MA,CLOSED,Officer stood by for a demonstration that went without incident.
2012-0000850,1/22/12,1/22/2012 11:43:00AM,VANDALISM,Suspicious activity, 1380 SOLDIERS FIELD RD EXT,MA,CLOSED,Officer dispatched to a report of property damage. Officer arrived and spoke to the reporting party who stated four individuals were observed exiting under the garage door and fleeing the area. Officer checked the garage door and observed damage to the upper left corner of the door.  Officer reports door  was still in operation condition and management was notified of the incident.
2012-0000852,1/22/12,1/22/2012 10:00:00AM To  2:00:00PM,DEMONSTRATION,Disturbance,NERPRC 1 PINE HILL DR,MA,CLOSED,Officer monitored a demonstration that went without incident.
2012-0000854,1/22/12,1/22/2012 12:36:00PM To  2:00:00PM,ASSIST CAMBRIDGE POLICE,Other,HARVARD SQUARE 1 HARVARD SQ,MA,CLOSED,Officer assisted CPD in monitoring a demonstration that went without incident.
2012-0000855,1/22/12,1/22/2012 12:30:00PM To  2:57:00PM,DEMONSTRATION,Disturbance,JOHN HARVARD STATUE 1 HARVARD YARD,MA,CLOSED,Officer monitored a demonstration that went without incident.
2012-0000866,1/22/12,1/17/2012 To 1/22/2012 9:00:00AM To 10:30:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,20 DEWOLFE ST ,MA,CLOSED,Officer dispatched to take a report of suspicious activity. Officer arrived and spoke to the reporting party who stated this was the second occasion they have arrived home to find a bag of trash in the middle of their room.  Officer reports management was notified of the incident.
2012-0000867,1/22/12,1/22/2012 11:11:00PM,NOISE COMPLAINT,Noise,QUINCY HOUSE E 58 PLYMPTON ST,MA,CLOSED,Officers dispatched to a report of loud noise. Officers arrived and told the occupants in room 43 to keep the noise down.
2012-0000868,1/22/12,1/22/2012 11:32:00PM,REMOVE GROUP,Other,WIDENER LIBRARY 31 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of a group of individuals throwing snowballs at passersby. Officers arrived and sent the group on their way.
2012-0000870,1/22/12,1/20/2012 To 1/22/201211:00:00PM To  1:30:00PM,THEFT REPORT,Theft,MALLINCKRODT LAB 12 OXFORD ST,MA,OPEN,"Officer dispatched to take a report of a stolen black Sony Bio laptop computer valued at $700.00.
UPDATE 6/26/12: Complaints were issued against an individual in this case:
Name: Duret, Roderick
Age: 41
Address:  333 Massachusetts Ave
                Apt 9
                Boston, MA 02115
Charge(s): Larceny in a building"
2012-0000874,1/23/12,1/23/2012  2:12:00AM,DISTURBANCE,Disturbance,UHS UNIVERSITY HEALTH SERVICES 75 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of an individual creating a disturbance . Officers arrived and spoke to the individual who agreed to calm down.
2012-0000889,1/23/12,1/23/2012 10:33:00AM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual sleeping in the building. Officers arrived and sent the individual on their way.
2012-0000897,1/23/12,1/23/2012  2:40:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,CABOT HOUSE I 51 SHEPARD ST,MA,CLOSED,Officers dispatched to a report of an individual asking to refill the vending machines. Officers and report a coca cola truck was leaving upon their arrival. Officers searched the area and report all is quiet and in order.
2012-0000898,1/23/12,1/23/2012  3:35:00PM,MOTOR VEHICLE ACCIDENT,Other,GUTMAN LIBRARY 6 APPIAN WAY,MA,CLOSED,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.
2012-0000903,1/23/12,1/23/2012  4:30:00PM To  5:00:00PM,THEFT REPORT,Theft,CONVERSE LAB 12 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a theft. Officer arrived and spoke to the individual who stated upon arrival they observed the steel wires on their desk had been cut and their silver Apple Mac Book Pro laptop computer valued at $1200.00 was stolen.
UPDATE 11/15/12: Pending further investigation this case is closed."
2012-0000908,1/23/12,1/23/2012  8:44:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,1 WESTERN AVENUE ,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously in the building. Officers arrived and searched the building for the individual with negative results.
2012-0000911,1/23/12,1/23/2012 10:11:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,10 AKRON ST 10 AKRON ST,MA,CLOSED,Officers dispatched to a report of a party on the first floor. Officers arrived and report there was no party just a small group of individuals watching television. Officers report management was notified of the incident and all is in order.
2012-0000914,1/24/12,1/24/2012  1:06:00AM,ASSIST CAMBRIDGE POLICE,Other,OWL CLUB 30 HOLYOKE ST,MA,CLOSED,Officer assisted CPD with a noise complaint. Officers advised the individuals to keep the noise down.
2012-0000920,1/24/12,1/24/2012  7:48:00AM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2012-0000923,1/24/12,1/24/2012  8:57:00AM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers report the individual was gone on arrival.
2012-0000928,1/24/12,1/23/2012 To 1/24/2012 3:00:00PM To  5:00:00PM,THEFT REPORT,Theft,NORTHWEST SCIENCE BUILDING 52 OXFORD ST,MA,CLOSED,"Officer dispatched to a report of an attempted theft of a laptop. Upon arrival the reporting individual informed the officer, upon their return to their laptop they noticed the aluminum was bent where the lock connects to the computer."
2012-0000932,1/24/12,1/24/2012 11:02:00AM To  2:45:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,HAUSER HALL 1575 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to a report that an individual with a trespass warning informed they may show up during a class. Officer stood by and reports the individual did not show up.
2012-0000947,1/24/12,1/24/2012  3:50:00PM,ASSIST CAMBRIDGE POLICE,Other,JOHNSTON GATE 47 HARVARD YARD,MA,CLOSED,Officer dispatched to a report of a motor vehicle accident near the gate. Officers were informed that the individuals involved were exchanging paperwork. Officers report both vehicles were gone on arrival.
2012-0000950,1/24/12,1/24/2012  4:26:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,STADIUM 79 N HARVARD ST,MA,CLOSED,Officer dispatched to a report that three individuals were throwing ice at passerby. Officers report the individuals had authorization to be in the area and the situation was a misunderstanding and all was in order.
2012-0000952,1/24/12,1/24/2012  7:15:00AM To  4:30:00PM,MOTOR VEHICLE ACCIDENT,Other,BUSINESS SCHOOL LOT 112 WESTERN AVE,MA,CLOSED,"Officer dispatched to take a report of a motor vehicle accident with no personal injuries. Upon arrival the reporting individual informed that when they returned to their vehicle they observed blue and white paint markings along the side of their vehicle, which was consistent with another vehicle brushing against their vehicle."
2012-0000963,1/24/12,1/24/2012 10:10:00PM To 10:26:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,WIDENER GATE 42 HARVARD YARD,MA,CLOSED,Officer dispatched to pick up a suspicious flyer that was in the area.
2012-0000987,1/25/12,1/25/2012  7:55:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,MALLINCKRODT LAB 12 OXFORD ST,MA,CLOSED,Officer dispatched to a report of a suspicious individual in the building. Officers searched the area for the individual with negative results.
2012-0000992,1/25/12,1/24/2012 To 1/25/2012 5:00:00PM To  8:00:00AM,VANDALISM,Suspicious activity, 6 STORY ST,MA,CLOSED,Officer dispatched to take a report of a graffiti done to the front window and support pillar of the building.
2012-0000994,1/25/12,1/25/2012 10:21:00AM To 11:56:00AM,DEMONSTRATION,Disturbance,UNIVERSITY HALL 1 HARVARD YARD,MA,CLOSED,Officers stood by during a demonstration that went without incident.
2012-0000995,1/25/12,1/25/2012 10:26:00AM,ASSIST CAMBRIDGE POLICE,Other, DUNSTER ST / MASSACHUSETTS AVE,MA,CLOSED,Officers assisted CPD with an individual in need of medical assistance. Officers report the individual was transported via ambulance to a medical facility.
2012-0000997,1/25/12,1/25/2012 10:45:00AM,WARRANT ARREST,Other,LONGWOOD CAMPUS OPERATIONS 180 LONGWOOD AVE,MA,ARREST,"Officers conducted a field interview with an individual. The individual was checked for wants/warrants with positive results. The individual was placed under arrest. The individual was also issued a trespass warning for all Harvard University property.
Name: Sanchez, Anthony
Age: 22
Address: 113 Bunker Hill St., #19, Charlestown, MA
Charge(s): Warrant Service"
2012-0001010,1/25/12,1/25/2012  1:30:00PM To  2:40:00PM,DEMONSTRATION,Disturbance,UNIVERSITY LIBRARY 90 MT AUBURN ST,MA,CLOSED,Officers stood by during a demonstration that went without incident.
2012-0001011,1/25/12,1/25/2012 11:35:00AM,VANDALISM,Suspicious activity,184-188 EVERETT ST 184 EVERETT ST,MA,CLOSED,Officer dispatched to a report of graffiti on the building. Officer searched the building for any graffiti with negative results.
2012-0001014,1/25/12,12/15/2011 To 1/25/2012 5:00:00PM To 12:50:00PM,THEFT REPORT,Theft,DENTAL SCHOOL 188 LONGWOOD AVE,MA,CLOSED,"Officer dispatched to take a report of a stolen silver Apple MacBook Pro valued at $1,000.00.
Update 3/2/12: This case is closed pending any further information."
2012-0001015,1/25/12,1/25/2012  1:35:00PM,DRUG LAW VIOLATION,Other,PEABODY TERRACE 02 900 MEMORIAL DR,MA,OPEN,"Officers dispatched to take a report of suspicious activity.
Update 1/30/12: Officers were informed that an individual received a package that contained marijuana. Officers located two individuals possibly involved in the incident and conducted a field interview. The individuals were checked for wants/warrants with negative results. One of the individuals vehicle's was towed because it was parked without a permit. While an inventory was being done of the vehicle a gun was confiscated from the vehicle. Both individuals were issued a trespass warning for all Harvard University property and sent on their way.
Update 2/3/12: Complaints Issued:
Name: Cassama, Dwayne
Age: 18
Address: 200 Elm St., Apt. 6, Cambridge, MA
Charge(s): Class D, Possess Int. to Distribute
Conspiracy to Violate Drug Law
Drug Violation Near School/Park
Firearm, Possess W/O FID
Trespassing
Update 3/2/12: Complaints Issued:
Name: Jean Baptiste, Stefan
Age: 18
Address: 204 Columbia St., Cambridge, MA
Charge(s): Conspiracy to Violate Drug Law
Trespassing"
2012-0001019,1/25/12,1/25/2012 10:00:00AM To  2:30:00PM,THEFT REPORT,Theft,POUND BUILDING 1563 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to take a report of a stolen black and white Schwinn bicycle valued at $300.00. The bicycle was locked to the rack with a cable lock that was cut and left in the area.
